 Target | All Node Timing - Unsorted | Early Break Timing - Unsorted | All Node Timing - PQ | Early Break Timing - PQ
(357, 357) | 8.434414566996566 | 1.5597606580049614| 28.290289646996825 | 4.959331688005477
(358, 358) | 8.564410929000587 | 1.6555817039989051| 28.5322056790028 | 5.63124984499882
(359, 359) | 8.454315303002659 | 1.665465835998475| 28.106070574001933 | 5.435512306998135
(360, 360) | 8.523287757001526 | 1.6759564219973981| 28.306139888998587 | 5.583385527002974
(361, 361) | 8.591179950999503 | 1.8587292289957986| 28.554312154003128 | 5.89486791100353
(362, 362) | 8.60957906999829 | 1.7825988810000126| 28.887837782000133 | 6.202087620004022
(363, 363) | 8.63439446099801 | 1.8802407609982765| 28.448263283004053 | 6.513690954001504
(364, 364) | 8.17286936599703 | 1.9640092510016984| 28.400450130000536 | 6.6863530129994615
(365, 365) | 8.520951056998456 | 1.9406137429978116| 28.716267080999387 | 6.7424433330015745
(366, 366) | 8.2728413510049 | 2.04452971900173| 28.287397690000944 | 6.81032586999936
(367, 367) | 8.402561654002056 | 2.0627545940005803| 28.8734129450022 | 6.763140707000275
(368, 368) | 8.883177226998669 | 2.0397076689987443| 28.66816273600125 | 6.9036495740001556
(369, 369) | 8.542653792996134 | 2.210231017001206| 28.845782712000073 | 7.050268142003915
(370, 370) | 8.65390358899458 | 2.3013062690006336| 29.030132747000607 | 7.452762247005012
(371, 371) | 8.435946176003199 | 2.387515219001216| 28.089090991001285 | 7.801065368003037
(372, 372) | 8.349600002999068 | 2.354836480000813| 28.071964595997997 | 7.935930724001082
(373, 373) | 8.179334757995093 | 2.3720032809942495| 27.785441111998807 | 8.20215343900054
(374, 374) | 8.158117671999207 | 2.6110188699967694| 27.949248543001886 | 8.39700289999746
(375, 375) | 8.225103267999657 | 2.5053691450011684| 27.667807696001546 | 8.54488298799697
(376, 376) | 8.13657786699332 | 2.6540955800010124| 27.922856126002443 | 8.911253567006497
(377, 377) | 8.216266385999916 | 2.7640867120062467| 27.706443292001495 | 9.229930228997546
(378, 378) | 8.175172280003608 | 2.7074685100014904| 27.885873974999413 | 9.154097638005624
